"SAVT","REL","Almirante Zar","-43.21458100:-065.28504200","SA","Argentina"
"VEAN","IXV","Along","28.17456700:094.80089200","VE","India"
"MPCE","CTD","Alonso Valderrama","07.98128600:-080.41107500","MP","Panama"
"WMKA","AOR","Alor Setar Sultan Abdul Halim","06.18051700:100.38980600","WM","Malaysia"
"KAPN","APN","Alpena Co Rgnl","45.06493900:-083.56137200","KA","United States of America"
"YAPH","ABH","Alpha","-23.64652836:146.58359687","YA","Australia"
"ENAT","ALF","Alta","69.98241900:023.34099400","EN","Norway"
"SBAT","AFL","Alta Floresta","-09.87686100:-056.10985800","SB","Brazil"
"SBHT","ATM","Altamira","-03.25947500:-052.26106900","SB","Brazil"
"EDAC","AOC","Altenburg Nobitz","50.97436900:012.49622100","ED","Germany"
"SNAI","APY","Alto Parnaiba","-09.08008935:-045.95602460","SN","Brazil"
"KAOO","AOO","Altoona Blair Co","40.28872800:-078.32313600","KA","United States of America"
"KAXS","AXS","Altus Quartz Mountain Rgnl","34.70633900:-099.33810000","KA","United States of America"
"UOOO","NSK","Alykel","69.29799471:087.30895122","UO","Russia"
"WAPA","AHI","Amahai (local Gov)","-03.34450815:128.92341272","WA","Indonesia"
"RJKA","ASJ","Amami","28.42252500:129.70807800","RJ","Japan"
"FMNW","WAI","Ambalabe","-14.90550600:047.99359200","FM","Comoros, Madagascar, Mayotte, Réunion"
"PAFM","ABL","Ambler","67.10868600:-157.85124700","PA","Alaska"
"GAMB","MZI","Ambodedjo","14.50497500:-004.08822800","GA","Mali"
"LFEF","XAM","Amboise Dierre","47.33899899:000.95396153","LF","France"
"WAPP","AMQ","Ambon Pattimura","-03.71825300:128.08115000","WA","Indonesia"
"SACO","COR","Ambrosio L V Taravella","-31.29583600:-064.20810800","SA","Argentina"
"KAHC","AHC","Amedee Aaf","40.26768900:-120.16531900","KA","United States of America"
"KAHH","AHH","Amery Muni","45.28663300:-092.37561400","KA","United States of America"
"KAMW","AMW","Ames Muni","41.98270300:-093.62475800","KA","United States of America"
"LFAY","QAM","Amiens Glisy","49.87550600:002.37923300","LF","France"
"CYEY","YEY","Amos Magny","48.56805300:-078.25777500","CY","Canada"
"VCCG","GOY","Amparai","07.33498600:081.62139200","VC","Sri Lanka"
"LIQS","SAY","Ampugnano","43.26122200:011.25482500","LI","Italy"
"VIAR","ATQ","Amritsar","31.72329700:074.79064200","VI","India"
"NTGA","AAA","Anaa","-17.34674200:-145.51351700","NT","French Polynesia"
"SVAN","AAO","Anaco","09.43026700:-064.47644700","SV","Venezuela"
"PAKP","AKP","Anaktuvuk Pass","68.12845600:-151.75425800","PA","Alaska"
"FMNL","HVA","Analalava","-14.62868100:047.75831400","FM","Comoros, Madagascar, Mayotte, Réunion"
"SWNS","APS","Anapolis","-16.36724700:-048.93398900","SW","Brazil"
"SPHY","ANS","Andahuaylas","-13.71620600:-073.35658900","SP","Peru"
"FMND","ZWA","Andapa","-14.65722200:049.61999900","FM","Comoros, Madagascar, Mayotte, Réunion"
"PGUA","UAM","Andersen Afb","13.57531900:144.91648600","PG","Guam, Northern Marianas"
"KAID","AID","Anderson Muni Darlington Fld","40.11194400:-085.62293900","KA","United States of America"
"KAND","AND","Anderson Rgnl","34.48859200:-082.71591400","KA","United States of America"
"WAAM","MXB","Andi Jemma","-02.56213300:120.32299700","WA","Indonesia"
"ENAN","ANX","Andoya","69.30704200:016.11984400","EN","Norway"
"LGAD","PYR","Andravida","37.93433300:021.28783300","LG","Greece"
"KADW","ADW","Andrews Afb","38.79773600:-076.86357500","KA","United States of America"
"GMFO","OUD","Angads","34.77993100:-001.93784200","GM","Morocco"
"MMTG","TGZ","Angel Albino Corzo","16.57143100:-093.03223600","MM","Mexico"
"KAXX","AXX","Angel Fire","36.43421400:-105.28944200","KA","United States of America"
"ESTA","AGH","Angelholm","56.29447800:012.84478900","ES","Sweden"
"LFBU","ANG","Angouleme Brie Champniers","45.73049700:000.20713100","LF","France"
"PANI","ANI","Aniak","61.58584700:-159.55777200","PA","Alaska"
"KARB","ARB","Ann Arbor Muni","42.22024400:-083.75010600","KA","United States of America"
"DABB","AAE","Annaba","36.81830600:007.80869700","DA","Algeria"
"SYAN","NAI","Annai","-03.96221379:-059.12733099","SY","Guyana"
"KANP","ANP","Annapolis Lee","38.94391100:-076.57259200","KA","United States of America"
"LFLI","QNJ","Annemasse","46.19446100:006.26100100","LF","France"
"PANT","ANN","Annette Island","55.04530800:-131.58186100","PA","Alaska"
"KANB","ANB","Anniston Metropolitan","33.58179181:-085.86671660","KA","United States of America"
"LTAI","AYT","Antalya","36.91548100:030.79474700","LT","Turkey"
"KANY","ANY","Anthony Muni","37.16369700:-098.07904400","KA","United States of America"
"TAPA","ANU","Antigua - V C Bird Intl","17.13023900:-061.80366700","TA","Antigua and Barbuda"
"RPVS","SJI","Antique","10.77148100:121.93341400","RP","Philippines"
"SAVN","OES","Antoine De St Exupery","-40.74654200:-065.04305000","SA","Argentina"
"SVCU","CUM","Antonio Jose De Sucre","10.44383600:-064.14301700","SV","Venezuela"
"SKPS","PSO","Antonio Narino","01.38619700:-077.29433300","SK","Colombia"
"TJAB","ABO","Antonio Nery Juarbe Pol","18.44794400:-066.68058100","TJ","Puerto Rico"
"SKLC","APO","Antonio Roldan Betancourt","07.82045600:-076.72143900","SK","Colombia"
"UKKM","GML","Antonov Intl","50.61768600:030.18127800","UK","Ukraine"
"KACB","ACB","Antrim Co","44.98203300:-085.20125000","KA","United States of America"
"FMNH","ANM","Antsirabato","-14.99426700:050.31857200","FM","Comoros, Madagascar, Mayotte, Réunion"
"EBAW","ANR","Antwerpen Deurne","51.19284959:004.45859325","EB","Belgium"
"VCCA","ADP","Anuradhapura","08.29684400:080.42302200","VC","Sri Lanka"
"PANV","ANV","Anvik","62.65074700:-160.18951400","PA","Alaska"
"RJSA","AOJ","Aomori","40.72493600:140.67461400","RJ","Japan"
"LIMW","AOT","Aosta","45.73806100:007.35992000","LI","Italy"
"KAAF","AAF","Apalachicola Muni","29.73291100:-085.03488600","KA","United States of America"
"SLAP","APB","Apolo","-14.72710328:-068.41368666","SL","Bolivia"
"KAPV","APV","Apple Valley","34.58754700:-117.18254400","KA","United States of America"
"SSAP","APU","Apucarana","-23.61014400:-051.39131100","SS","Brazil"
"OJAQ","AQJ","Aqaba King Hussein Intl","29.59804700:035.01331900","OJ","Jordan and the West Bank"
"SBAU","ARU","Aracatuba","-21.14976700:-050.42948300","SB","Brazil"
"LRAR","ARW","Arad","46.17737500:021.24920600","LR","Romania"
"FYAR","ADI","Arandis","-22.46358300:014.97077800","FY","Namibia"
"OERR","RAE","Arar","30.91015000:041.12280800","OE","Saudi Arabia"
"SBAQ","AQA","Araraquara","-21.80505600:-048.13763900","SB","Brazil"
"YARA","ARY","Ararat","-37.30816123:142.98536065","YA","Australia"
"LGRX","GPA","Araxos","38.16615300:021.42831400","LG","Greece"
"HAAM","AMH","Arba Minch","06.02869200:037.58369200","HA","Ethiopia"
"LFCH","XAC","Arcachon La Teste De Buch","44.59527500:-001.11805600","LF","France"
"KACV","ACV","Arcata","40.98565636:-124.11337271","KA","United States of America"
"PARC","ARC","Arctic Village","68.11028900:-145.59098300","PA","Alaska"
"OITL","ADU","Ardabil","38.33853600:048.41489700","OI","Iran"
"NZAR","AMZ","Ardmore Aerodrome","-37.03550080:174.96888190","NZ","New Zealand, Antarctica"
"KADM","ADM","Ardmore Muni","34.30603300:-097.02321900","KA","United States of America"
"LGKA","KSO","Aristotelis","40.45282500:021.26762500","LG","Greece"
"YARM","ARM","Armidale","-30.53295863:151.60912561","YA","Australia"
"CYYW","YYW","Armstrong","50.29914200:-088.92496900","CY","Canada"
"TVSV","SVD","Arnos Vale E T Joshua","13.14123100:-061.21650300","TV","Saint Vincent and the Grenadines"
"ENML","MOL","Aro","62.74381100:007.25631700","EN","Norway"
"FMNA","DIE","Arrachart","-12.34561900:049.28605600","FM","Comoros, Madagascar, Mayotte, Réunion"
"LFQD","QRV","Arras Roclincourt","50.32134976:002.79924143","LF","France"
"MDAB","EPS","Arroyo Barril Intl","19.19945600:-069.43524200","MD","Dominican Republic"
"WAJA","ARJ","Arso (dgac)","-02.93058532:140.78233862","WA","Indonesia"
"KATS","ATS","Artesia Muni","32.84603900:-104.47509200","KA","United States of America"
"MYCA","ATC","Arthurs Town","24.63288900:-075.68355600","MY","Bahamas"
"SCEL","SCL","Arturo Merino Benitez Intl","-33.37195000:-070.80371700","SC","Chile"
"SVVA","VLN","Arturo Michelena Intl","10.15040000:-067.94203300","SV","Venezuela"
"HTAR","ARK","Arusha","-03.36688900:036.61821900","HT","Tanzania"
"NTGU","AXR","Arutua","-15.24568300:-146.62211400","NT","French Polynesia"
"CYEK","YEK","Arviat","61.09885600:-094.07665300","CY","Canada"
"ESNX","AJR","Arvidsjaur","65.59855600:019.25617500","ES","Sweden"
"RJEC","AKJ","Asahikawa","43.68084400:142.44082200","RJ","Japan"
"OIBI","YEH","Asaloyeh","27.48918100:052.59945800","OI","Iran"
"FHAW","ASI","Ascension Aux Af","-07.96340800:-014.40604200","FH","Ascension Island"
"SLAS","ASC","Ascension De Guarayos","-15.71350630:-063.09481367","SL","Bolivia"
"NZAS","ASG","Ashburton","-43.90445729:171.79067953","NZ","New Zealand, Antarctica"
"KAVL","AVL","Asheville Rgnl","35.44649700:-082.54644200","KA","United States of America"
"UTAA","ASB","Ashgabat","38.00024400:058.34313900","UT","Tajikistan, Turkmenistan, Uzbekistan"
"KASY","ASY","Ashley Muni","46.02836900:-099.35695600","KA","United States of America"
"HHAS","ASM","Asmara Intl","15.28406700:038.89408600","HH","Eritrea"
"HASO","ASO","Asosa","10.02224200:034.57818900","HA","Ethiopia"
"KASE","ASE","Aspen Pitkin Co Sardy Fld","39.23217500:-106.87314700","KA","United States of America"
"HHSB","ASA","Assab Intl","13.07977500:042.63100300","HH","Eritrea"
"SBAS","AIF","Assis","-22.63669200:-050.46386100","SB","Brazil"
"UACC","TSE","Astana Intl","51.01096700:071.44956700","UA","Kazakhstan, Kyrgyzstan"
"KAST","AST","Astoria Rgnl","46.15983200:-123.88974511","KA","United States of America"
"URWA","ASF","Astrakhan","46.28450800:047.99014700","UR","Russia"
"LEAS","OVD","Asturias","43.56663900:-006.04759200","LE","Spain"
"LGPL","JTY","Astypalaia","36.58374200:026.37303300","LG","Greece"
"HESN","ASW","Aswan Intl","23.97951900:032.81732500","HE","Egypt"
"HEAT","ATZ","Asyut Intl","27.05523300:031.00030000","HE","Egypt"
"WRKA","ABU","Atambua/haliwen (local Gov)","-09.07516674:124.90114985","WR","Indonesia"
"OYAT","AXK","Ataq","14.56043600:046.81682800","OY","Yemen"
"GQPA","ATR","Atar","20.49503900:-013.05031700","GQ","Mauritania"
"KAHN","AHN","Athens Ben Epps","33.94891100:-083.33820800","KA","United States of America"
"LGAV","ATH","Athens Intl Airport Elefterios Venizel","37.92351100:023.94326100","LG","Greece"
"CYIB","YIB","Atikokan Muni","48.77029400:-091.64328100","CY","Canada"
"PAAK","AKB","Atka","52.22475900:-174.20783288","PA","Alaska"
"KACY","ACY","Atlantic City Intl","39.46426100:-074.59101400","KA","United States of America"
"KAIO","AIO","Atlantic Muni","41.41100300:-095.05281100","KA","United States of America"
"PATQ","ATK","Atqasuk Edward Burnell Sr Mem","70.46618100:-157.45328300","PA","Alaska"
"RJTA","NJA","Atsugi Naf","35.44363600:139.45035300","RJ","Japan"
"UATG","GUW","Atyrau","47.13361100:051.81139200","UA","Kazakhstan, Kyrgyzstan"
"LFHO","OBS","Aubenas","44.53784400:004.37158300","LF","France"
"KAUN","AUN","Auburn Muni","38.95429400:-121.08819700","KA","United States of America"
"KAUO","AUO","Auburn Opelika Robert G Pitts","32.62020000:-085.43603600","KA","United States of America"
"NZAA","AKL","Auckland International","-37.01747887:174.76657685","NZ","New Zealand, Antarctica"
"EDMA","AGB","Augsburg","48.42338600:010.92355000","ED","Germany"
"KAGS","AGS","Augusta Rgnl At Bush Fld","33.38238600:-081.97087500","KA","United States of America"
"KAUG","AUG","Augusta State","44.32766100:-069.80368100","KA","United States of America"
"SBNT","NAT","Augusto Severo","-05.90183600:-035.25160600","SB","Brazil"
"VAAU","IXU","Aurangabad","19.86234700:075.38689700","VA","India"
"LFLW","AUR","Aurillac","44.89786100:002.41694500","LF","France"
"KARR","AUZ","Aurora Muni","41.77015300:-088.48536700","KA","United States of America"
"KAUS","AUS","Austin Bergstrom Intl","30.21361400:-097.67936400","KA","United States of America"
"KAUM","AUM","Austin Muni","43.67051400:-092.93443100","KA","United States of America"
"LFLA","AUF","Auxerre Branches","47.84297800:003.49610000","LF","France"
"YMAV","AVV","Avalon","-38.02723900:144.46942500","YM","Australia"
"FMNC","WMR","Avaratra","-16.16325600:049.76790300","FM","Comoros, Madagascar, Mayotte, Réunion"
"SAZY","CPC","Aviador C Campos","-40.07957800:-071.15094200","SA","Argentina"
"LIPA","AVB","Aviano Ab","46.02333300:012.58388900","LI","Italy"
"KAVO","AVO","Avon Park Executive","27.58448100:-081.53508600","KA","United States of America"
"HAAX","AXU","Axum","14.15694700:038.76926900","HA","Ethiopia"
"YAYE","AYQ","Ayers Rock/connellan","-25.17809340:130.96670903","YA","Australia"
"PTRO","ROR","Babelthuap","07.36753220:134.53431175","PT","Federated States of Micronesia, Palau"
"EPZG","IEG","Babimost","52.13370622:015.78204805","EP","Poland"
"WASO","BXB","Babo","-02.53766100:133.43657800","WA","Indonesia"
"LRBC","BCM","Bacau","46.53270600:026.90593300","LR","Romania"
"RPVB","BCD","Bacolod","10.63578900:122.92381100","RP","Philippines"
"WAKE","BXD","Bade (dgac)","-07.17768105:139.58277617","WA","Indonesia"
"FKKU","BFX","Bafoussam","05.54640600:010.34843100","FK","Cameroon"
"VYBG","NYU","Bagan","21.19040300:094.93024400","VY","Myanmar"
"VEBD","IXB","Bagdogra","26.69356100:088.32891900","VE","India"
"VNBL","BGL","Baglung","28.21037692:083.66649903","VN","Nepal"
"CYBG","YBG","Bagotville","48.33277800:-071.01583100","CY","Canada"
"RPUB","BAG","Baguio","16.37487200:120.61107500","RP","Philippines"
"OPBW","BHV","Bahawalpur","29.34562200:071.70358900","OP","Pakistan"
"MMBT","HUX","Bahias De Huatulco Intl","15.77299400:-096.27499200","MM","Mexico"
"HABD","BJR","Bahir Dar","11.59857500:037.31197200","HA","Ethiopia"
"OBBI","BAH","Bahrain Intl","26.28038900:050.61702800","OB","Bahrain"
"CYBC","YBC","Baie Comeau","49.13091900:-068.21956700","CY","Canada"
"TFFB","BBR","Baillif","16.01960893:-061.74698811","TF","Guadeloupe"
"YBNS","BSJ","Bairnsdale","-37.89036130:147.56430850","YB","Australia"
"ZBHH","HET","Baita","40.84478300:111.80423900","ZB","People\'s Republic of China"
"ZGGG","CAN","Baiyun Intl","23.37553900:113.30532500","ZG","People\'s Republic of China"
"WRKB","BJW","Bajawa/pahdamaleda (local Gov)","-08.81356392:120.99974584","WR","Indonesia"
"VNBR","BJU","Bajura","29.50282928:081.66590148","VN","Nepal"
"GOTB","BXE","Bakel","14.84328300:-012.47529400","GO","Senegal"
"CYBK","YBK","Baker Lake","64.30444200:-096.08194700","CY","Canada"
"BIBK","BJD","Bakkafjordur","66.01947624:-014.83011968","BI","Iceland"
"USCC","CEK","Balandino","55.30921100:061.47888600","US","Russia"
"LHSM","SOB","Balaton","46.69728300:017.15491700","LH","Hungary"
"RPUR","BQA","Baler","15.72646100:121.49603300","RP","Philippines"
"EPKK","KRK","Balice","50.07539747:019.76809501","EP","Poland"
"LTFD","EDO","Balikesir Korfez","39.54894200:027.00415300","LT","Turkey"
"UAAH","BXH","Balkhash","46.88731900:074.99169700","UA","Kazakhstan, Kyrgyzstan"
"YBNA","BNK","Ballina","-28.83575000:153.55181400","YB","Australia"
"SCBA","BBA","Balmaceda","-45.91416700:-071.70540600","SC","Chile"
"YBRN","BZD","Balranald","-34.61950809:143.57775278","YB","Australia"
"LUBL","BZY","Balti Intl","47.84699400:027.77486900","LU","Moldova"
"OIKM","BXR","Bam","29.09239700:058.43539400","OI","Iran"
"GABS","BKO","Bamako Senou","12.52682500:-007.96034700","GA","Mali"
"FKKV","BPC","Bamenda","06.05041900:010.12090000","FK","Cameroon"
"VLHS","OUI/","Ban Huoeisay","20.26410600:100.43425000","VL","Laos"
"ENNA","LKL","Banak","70.08124700:024.97057500","EN","Norway"
"WITT","BTJ","Banda Aceh Sultan Iskandarmuda","05.53456700:095.41808900","WI","Indonesia"
"OIKB","BND","Bandar Abbass Intl","27.20316900:056.37035600","OI","Iran"
"OIBL","BDH","Bandar Lengeh","26.53043100:054.81242500","OI","Iran"
"VCBI","CMB","Bandaranaike Intl Colombo","07.16873600:079.87490800","VC","Sri Lanka"
"FMCI","NWA","Bandaressalam","-12.29489400:043.76138900","FM","Comoros, Madagascar, Mayotte, Réunion"
"FZBO","FDU","Bandundu","-03.30958900:017.37571700","FZ","Democratic Republic of the Congo"
"VTBD","DMK","Bangkok Don Muang Intl","13.89705600:100.59600000","VT","Thailand"
"VTBS","BKK","Bangkok Suvarnabhumi Intl","13.69134935:100.76084429","VT","Thailand"
"FZIC","FKI","Bangoka Intl","00.49066700:025.32508300","FZ","Democratic Republic of the Congo"
"FEFF","BGF","Bangui M Poko","04.40983100:018.51585000","FE","Central African Republic"
"LQBK","BNX","Banja Luka","44.95258599:017.29420667","LQ","Bosnia and Herzegovina"
"WRBB","BDJ","Banjarmasin Syamsudin Noor","-03.44031400:114.75147200","WR","Indonesia"
"GBYD","BJL","Banjul Intl","13.34855300:-016.66480600","GB","The Gambia"
"YSBK","BWU","Bankstown","-33.91963100:150.98370600","YS","Australia"
"VYBM","BMO","Banmaw","24.27543900:097.24181100","VY","Myanmar"
"EIBN","BYT","Bantry","51.66875164:-009.48723415","EI","Ireland"
"ZGSZ","SZX","Baoan Intl","22.65296100:113.80314700","ZG","People\'s Republic of China"
"LFEU","XBD","Bar Le Duc Les Hauts De Chee","48.86864671:005.05567727","LF","France"
"SKMG","MGN","Baracoa","09.28610300:-074.85276400","SK","Colombia"
"MUBA","BCA","Baracoa Gustavo Rizo","20.37268300:-074.50985300","MU","Cuba"
"VEBI","SHL","Barapani","25.69726100:091.97295600","VE","India"
"TBPB","BGI","Barbados - Grantley Adams Intl","13.07091400:-059.50748900","TB","Barbados"
"YBAR","BCI","Barcaldine","-23.57344585:145.29980280","YB","Australia"
